surface	cab_norm	count	class	ruling	result	reason
Oel	Öl	1	residual	accept	Öl	Oe digraph becomes O-umlaut
betrift	betrifft	1	residual	accept	betrifft	modern spelling doubles f
Meſſung	Messung	1	ss_audit	accept	Messung	short e takes ss
äuſſerer	äußerer	1	residual	accept	äußerer	aeusser- takes sz
Durchmeſſer	Durchmesser	1	ss_audit	accept	Durchmesser	short e takes ss
Beweife	Beweise	1	residual	accept	Beweise	print damage for Beweise
Gröſe	Größe	1	residual	accept	Größe	long oe takes sz
begreiffloſen	begrifflosen	1	residual	accept	begrifflosen	Begreiff is Begriff
paralyſirt	paralysiert	1	residual	accept	paralysiert	-irt becomes -iert
bachantiſche	bacchantische	1	residual	accept	bacchantische	modern spelling doubles c
unterſcheidot	Unterscheidod	1	residual	rewrite	unterscheidet	print damage for unterscheidet
Zuſälligkeit	Zufälligkeit	1	residual	accept	Zufälligkeit	print damage, long s for f
gewiſſes	gewisses	1	ss_audit	accept	gewisses	short i takes ss
loſern	Losern	1	residual	reject	losern	elision kept, stays lowercase
ſteifern	steiferen	1	residual	reject	steifern	elision kept
wiſſenſchafftlichen	wissenschaftlichen	1	ss_audit	accept	wissenschaftlichen	ff becomes f
Triplicität	Triplizität	1	residual	accept	Triplizität	Latinate c becomes z
wiſſenſchafftliches	wissenschaftliches	1	ss_audit	accept	wissenschaftliches	ff becomes f
Cirkel	Zirkel	1	residual	accept	Zirkel	Latinate C becomes Z
unwiſſenſchaftlich	unwissenschaftlich	1	ss_audit	accept	unwissenschaftlich	short i takes ss
Stikſtoff	Stickstoff	1	residual	accept	Stickstoff	ck restored
Süd	Süden	1	residual	reject	Süd	CAB changed the word form
repreſentire	repräsentiere	1	residual	accept	repräsentiere	e becomes ae, -ire to -iere
nakt	nackt	1	residual	accept	nackt	ck restored
Seelenverwandſchafft	Seelenverwandtschaft	1	residual	accept	Seelenverwandtschaft	modern Verwandtschaft has t
glückwünſchen	Glückwünschen	1	residual	reject	glückwünschen	verb stays lowercase
gleichtönigen	gleichtonigen	1	residual	reject	gleichtönigen	toenig keeps its umlaut
Mahlers	Malers	1	residual	accept	Malers	silent h dropped
irrdiſchen	irdischen	1	residual	accept	irdischen	double r reduced
einzurangiren	einzurangieren	1	residual	accept	einzurangieren	-iren becomes -ieren
verſchloſſner	verschlossener	1	residual	reject	verschlossner	elision kept
aufgeheſteten	aufgehefteten	1	residual	accept	aufgehefteten	print damage, long s for f
weggelaſſen	weggelassen	1	ss_audit	accept	weggelassen	short a takes ss
einfärbigen	einfarbigen	1	residual	reject	einfärbigen	faerbig is valid German
Mahlerey	Malerei	1	residual	accept	Malerei	silent h dropped, ey to ei
Gleichfärbigkeit	Gleichfarbigkeit	1	residual	reject	Gleichfärbigkeit	faerbig is valid German
organiſiren	organisieren	1	residual	accept	organisieren	-iren becomes -ieren
Schematiſiren	Schematisieren	1	residual	accept	Schematisieren	-iren becomes -ieren
todtem	totem	1	residual	accept	totem	th becomes t
Ueberſicht	Übersicht	1	residual	accept	Übersicht	Ue digraph becomes U-umlaut
emergirt	emergiert	1	residual	accept	emergiert	-irt becomes -iert
Leiſst	Leisest	1	residual	rewrite	heißt	print damage for heisst
graſsiren	grassieren	1	residual	accept	grassieren	-iren becomes -ieren
wiſſenschafftlichen	wissenschaftlichen	1	ss_audit	accept	wissenschaftlichen	ff becomes f
anticipirte	antizipierte	1	residual	accept	antizipierte	c to z, -irte to -ierte
Erinnrung	Erinnerung	1	residual	reject	Erinnrung	elision kept
andren	anderen	1	residual	reject	andren	elision kept
räſonnirt	räsonniert	1	residual	rewrite	räsoniert	Duden spells raesonieren
räsonnirenden	räsonierenden	1	residual	accept	räsonierenden	Duden spells raesonieren
aufgefaſsten	aufgefassten	1	ss_audit	accept	aufgefassten	short a takes ss
räsonnirende	räsonnierende	1	residual	rewrite	räsonierende	Duden spells raesonieren
dagegegen	dagegen	1	residual	accept	dagegen	printed typo doubled syllable
mehrern	mehreren	1	residual	reject	mehrern	elision kept
Accente	Akzente	1	residual	accept	Akzente	Latinate cc becomes kz
Räsonnirens	Räsonnierens	1	residual	rewrite	Räsonierens	Duden spells raesonieren
vertieſt	vertieft	1	residual	accept	vertieft	print damage, long s for f
ausſagte	aussagte	1	ss_audit	accept	aussagte	short a takes ss
Vorwurſs	Vorwurfs	1	residual	accept	Vorwurfs	print damage, long s for f
zulaſſe	zulasse	1	ss_audit	accept	zulasse	short a takes ss
geſagte	Gesagte	1	residual	reject	gesagte	keep surface lowercase
ausſchlöſſe	ausschlösse	1	ss_audit	accept	ausschlösse	short oe takes ss
Expofitionen	Expositionen	1	residual	accept	Expositionen	print damage, f for long s
ausgeſprochnen	ausgesprochenen	1	residual	reject	ausgesprochnen	elision kept
Wiſſenſchaften	Wissenschaften	1	ss_audit	accept	Wissenschaften	short i takes ss
Uebens	Übens	1	residual	accept	Übens	Ue digraph becomes U-umlaut
philofophiren	philosophieren	1	residual	accept	philosophieren	print damage, f for long s
Fuſſe	Fuße	1	residual	accept	Fuße	long u takes sz
beſäſſe	besäße	1	residual	accept	besäße	long ae takes sz
Räſonniren	Räsonieren	1	residual	accept	Räsonieren	Duden spells raesonieren
andrem	anderem	1	residual	reject	andrem	elision kept
Equivalent	Äquivalent	1	residual	accept	Äquivalent	E becomes Ae-umlaut
Coſſees	Cossees	1	ss_audit	rewrite	Kaffees	Coffee is modern Kaffee
form	Form	1	residual	reject	form	printed lowercase, form- ellipsis
graſsirte	grassierte	1	residual	accept	grassierte	-irte becomes -ierte
Produciren	Produzieren	1	residual	accept	Produzieren	Latinate c becomes z
Proſe	Prosa	1	residual	reject	Prose	word form kept, like itzt
poëtiſches	poetisches	1	residual	accept	poetisches	diaeresis dropped
desorganiſirten	desorganisierten	1	residual	accept	desorganisierten	-irten becomes -ierten
ruhigern	ruhigeren	1	residual	reject	ruhigern	elision kept
fortflieſſend	fortfließend	1	residual	accept	fortfließend	long ie takes sz
Unbedeutenheit	Unbedeutendheit	1	residual	reject	Unbedeutenheit	Hegel's word kept
erſparrt	erspart	1	residual	accept	erspart	double r reduced
ausgemachtermaſſen	ausgemachtermassen	1	ss_audit	rewrite	ausgemachtermaßen	-massen has long a
Füſſen	Füßen	1	residual	accept	Füßen	long u takes sz
Uebereinkunft	Übereinkunft	1	residual	accept	Übereinkunft	Ue digraph becomes U-umlaut
Recenſionen	Rezensionen	1	residual	accept	Rezensionen	Latinate c becomes z
Beurtheilte	beurteilte	1	residual	rewrite	Beurteilte	th to t, keep surface capital
hohenprieſterlichen	hohepriesterlichen	1	residual	reject	hohenpriesterlichen	Hegel's form kept
Dürſtigkeit	Durstigkeit	1	residual	rewrite	Dürftigkeit	print damage for Duerftigkeit
äuſſre	äußere	1	residual	rewrite	äußre	keep elision, long ae takes sz
Plato’s	Plato's	1	residual	reject	Plato’s	printed apostrophe kept
wiſſenſchaftlich	wissenschaftlich	1	ss_audit	accept	wissenschaftlich	short i takes ss
misverſtandne	missverstandene	1	residual	rewrite	missverstandne	miss- prefix, elision kept
Hiebey	Hierbei	1	residual	rewrite	Hierbei	hie-→hier- per plan precedent
Repreſentanten	Repräsentanten	1	residual	accept	Repräsentanten	e becomes ae
Füſſe	Füße	1	residual	accept	Füße	long u takes sz
imponirende	imponierende	1	residual	accept	imponierende	-irende becomes -ierende
geſammten	gesamten	1	residual	accept	gesamten	mm reduced to m
verbeſſern	verbessern	1	ss_audit	accept	verbessern	short e takes ss
Geſete	Geste	1	residual	reject	Gesete	errata misprint cited verbatim
tod	Tod	1	residual	reject	tod	errata misprint cited verbatim
überſchen	übereschen	1	residual	rewrite	übersehen	print damage for uebersehen
ſemicolon	Semikolon	1	residual	reject	semicolon	errata term as printed
Bewandnisses	Bewandtnisse	1	residual	rewrite	Bewandtnisses	modern Bewandtnis has t
Formirung	Formierung	1	residual	accept	Formierung	-irung becomes -ierung
gewissermaſsen	gewissermaßen	1	residual	accept	gewissermaßen	long a takes sz
Uebelstande	Übelstand	1	residual	rewrite	Übelstande	keep dative -e ending
formirten	formierten	1	residual	accept	formierten	-irten becomes -ierten
verbundne	verbundene	1	residual	reject	verbundne	elision kept
Notitz	Notiz	1	residual	accept	Notiz	tz becomes z
nichtrealisirte	nichtrealisierte	1	residual	accept	nichtrealisierte	-irte becomes -ierte
produciren	produzieren	1	residual	accept	produzieren	Latinate -ciren to -zieren
herkömmt	herkommt	1	residual	reject	herkömmt	archaic inflection stays
heiſse	heisse	1	ss_audit	rewrite	heiße	ei diphthong takes ß
Innhalts	Inhalts	1	residual	accept	Inhalts	archaic doubled n simplified
ausser	außer	1	residual	accept	außer	au diphthong takes ß
Maſsstäbe	Massstäbe	1	ss_audit	rewrite	Maßstäbe	Maß long a takes ß
appliciren	applizieren	1	residual	accept	applizieren	Latinate -ciren to -zieren
wissenschafftliche	wissenschaftliche	1	ss_audit	accept	wissenschaftliche	archaic ff simplified
jedesmahlige	jedesmalige	1	residual	accept	jedesmalige	silent h dropped
ausserdem	außerdem	1	residual	accept	außerdem	au diphthong takes ß
Reflectiren	Reflektieren	1	residual	accept	Reflektieren	c to k, -iren to -ieren
Auſschreiben	Ausschreiben	1	ss_audit	accept	Ausschreiben	glyph folding only
schaal	schal	1	residual	accept	schal	archaic doubled a
Einſachheit	Einfachheit	1	residual	accept	Einfachheit	long-s misread for f
deduciren	deduzieren	1	residual	accept	deduzieren	Latinate -ciren to -zieren
construiren	konstruieren	1	residual	accept	konstruieren	c to k, -iren to -ieren
Gewiſswissende	Gewisswissende	1	ss_audit	accept	Gewisswissende	gewiss short i takes ss
negire	negiere	1	residual	accept	negiere	-ire to -iere
Vornen	Vorne	1	residual	reject	Vornen	nominalized adverb form stays
anders-seyn	Anderssein	1	residual	rewrite	anders-sein	printed hyphen and case kept
anticipiren	antizipieren	1	residual	accept	antizipieren	Latinate c to z
allerallgemeinste	allgemeinste	1	residual	reject	allerallgemeinste	CAB dropped intensifier aller-
Zusammengefaſstseyn	Zusammengefasstsein	1	ss_audit	accept	Zusammengefasstsein	short a ss, seyn to sein
Saltz	Salz	1	residual	accept	Salz	archaic tz simplified
negirende	negierende	1	residual	accept	negierende	-iren to -ieren
ausschlieſsend	ausschließend	1	residual	accept	ausschließend	long ie takes ß
faſste	fasste	1	ss_audit	accept	fasste	short a takes ss
vorkömmt	vorkommt	1	residual	reject	vorkömmt	archaic inflection stays
corrigirt	korrigiert	1	residual	accept	korrigiert	c to k, -irt to -iert
umschlieſsenden	umschließenden	1	residual	accept	umschließenden	long ie takes ß
einssetzen	einsetzen	1	residual	reject	einssetzen	einsetzen would change sense
afficirte	affizierte	1	residual	accept	affizierte	Latinate c to z
gediegne	gediegene	1	residual	reject	gediegne	elision stays
gediegnem	gediegenem	1	residual	reject	gediegnem	elision stays
negirte	negierte	1	residual	accept	negierte	-irte to -ierte
abstrahirte	abstrahierte	1	residual	accept	abstrahierte	-irte to -ierte
Paſſivität	Passivität	1	ss_audit	accept	Passivität	glyph folding only
Selbststandigkeit	Selbststantigkeit	1	residual	rewrite	Selbstständigkeit	OCR dropped umlaut
selbstseyn	Selbstsein	1	residual	rewrite	selbstsein	surface lowercase kept
existirte	existierte	1	residual	accept	existierte	-irte to -ierte
verselbstständigens	Verselbstständigens	1	residual	reject	verselbstständigens	surface lowercase kept
aufhebens	Aufhebens	1	residual	reject	aufhebens	surface lowercase kept
substantiirtes	substantiiertes	1	residual	accept	substantiiertes	-irtes to -iertes
geäuſsert	geäußert	1	residual	accept	geäußert	äu diphthong takes ß
Eins-seyn	Einssein	1	residual	rewrite	Eins-sein	printed hyphen kept
Kraffte	Kraft	1	residual	rewrite	Kräfte	plural; OCR dropped umlaut
sollicitirtes	sollizitiertes	1	residual	accept	sollizitiertes	Latinate c to z
sollicitirtseyn	Sollizitiertsein	1	residual	rewrite	sollizitiertsein	surface lowercase kept
obetrachten	trachten	1	residual	rewrite	betrachten	stray o, print damage
Spiets	spitz	1	residual	rewrite	Spiels	OCR for Spiels der Kräfte
Zusammengeschlossenseyns	Zusammengeschlossenseins	1	ss_audit	accept	Zusammengeschlossenseins	seyn to sein
Zusammengeschlossenseyn	Zusammengeschlossensein	1	ss_audit	accept	Zusammengeschlossensein	seyn to sein
bestandigen	bestandin	1	residual	rewrite	beständigen	OCR dropped umlaut
gesetzmäſsig	gesetzmässig	1	ss_audit	rewrite	gesetzmäßig	gemäß long ä takes ß
zurückgegangenseyns	Zurückgegangenseins	1	residual	rewrite	zurückgegangenseins	surface lowercase kept
Elektricität	Elektrizität	1	residual	accept	Elektrizität	Latinate c to z
hieſse	hieße	1	residual	accept	hieße	long ie takes ß
verlieſsen	verließen	1	residual	accept	verließen	long ie takes ß
Electricitäten	Elektrizitäten	1	residual	accept	Elektrizitäten	c to k and z
sollicitirenden	sollizitierenden	1	residual	accept	sollizitierenden	Latinate c to z
sollicitirten	sollizitierten	1	residual	accept	sollizitierten	Latinate c to z
äuſsernden	äußernden	1	residual	accept	äußernden	äu diphthong takes ß
abgestoſsen	abgestoßen	1	residual	accept	abgestoßen	long o takes ß
schwartz	schwarz	1	residual	accept	schwarz	archaic tz simplified
Aeuſserem	Äußerem	1	residual	accept	Äußerem	Ae to Ä, ß
Uebersinnlichem	Übersinnlichem	1	residual	accept	Übersinnlichem	Ue to Ü
abgestoſsenen	abgestoßenen	1	residual	accept	abgestoßenen	long o takes ß
süſsen	süßen	1	residual	accept	süßen	long ü takes ß
Weiſsen	Weißen	1	residual	accept	Weißen	ei diphthong takes ß
ubergriffen	übergriffen	1	residual	accept	übergriffen	OCR dropped umlaut
pulsirt	pulsiert	1	residual	accept	pulsiert	-irt to -iert
tavtologisch	tautologisch	1	residual	accept	tautologisch	archaic v for u
gleichwerden	Gleichwerden	1	residual	reject	gleichwerden	surface lowercase kept
hiezu	hierzu	1	residual	rewrite	hierzu	hie-→hier- per plan precedent
abstoſsen	abstoßen	1	residual	accept	abstoßen	long o takes ß
derin	dein	1	residual	rewrite	darin	OCR for darin
stoſse	stoße	1	residual	accept	stoße	long o takes ß
Selbstbcwuſstseyn	Selbstbcwusstseyn	1	ss_audit	rewrite	Selbstbewusstsein	OCR bc for be
Gewiſsheit.	Gewissheit.	1	ss_audit	accept	Gewissheit.	short i takes ss
farbigten	farbigen	1	residual	reject	farbigten	archaic -igt suffix stays
realisirenden	realisierenden	1	residual	accept	realisierenden	-iren to -ieren
auſsersichseyn	Aussersichsein	1	residual	rewrite	außersichsein	lowercase kept, ß, sein
Auſsersich	Außersiech	1	residual	rewrite	Außersich	CAB garbled; ß only
Auſsersichseyn	Außer-sich-sein	1	residual	rewrite	Außersichsein	compound stays one word
flüssigwerden	flüssigwerten	1	residual	reject	flüssigwerden	already modern, lowercase kept
Gefuhl	Gefühl	1	residual	accept	Gefühl	OCR dropped umlaut
formirende	Formierende	1	residual	rewrite	formierende	surface lowercase kept
underes	unteres	1	residual	rewrite	anderes	OCR for anderes
Formirt	Formiert	1	residual	accept	Formiert	-irt to -iert
geheiſsen	geheißen	1	residual	accept	geheißen	ei diphthong takes ß
zurückkömmt	zurückkommt	1	residual	reject	zurückkömmt	archaic inflection stays
erheilt	erhielt	1	residual	rewrite	erhellt	OCR for erhellt
zusammenstürtzte	zusammenstürzte	1	residual	accept	zusammenstürzte	archaic tz simplified
ausgesprochne	ausgesprochene	1	residual	reject	ausgesprochne	elision stays
einseitge	einseitige	1	residual	reject	einseitge	elision stays
auſsere	ausser	1	residual	rewrite	äußere	modern äußere; umlaut and ß
begriffner	begriffener	1	residual	reject	begriffner	elision stays
arbeitends	arbeitendes	1	residual	rewrite	arbeitend	stray s; parallel to begehrend
überlaſst	überlasst	1	ss_audit	rewrite	überlässt	3sg; OCR dropped umlaut
aufgebens	Aufgebens	1	residual	reject	aufgebens	surface lowercase kept
Genieſsens	Geniessens	1	ss_audit	rewrite	Genießens	long ie takes ß
einzelnste	Einzelneste	1	residual	reject	einzelnste	Hegel's superlative stays
Aermlichkeit	Ärmlichkeit	1	residual	accept	Ärmlichkeit	Ae to Ä
fixirende	fixierende	1	residual	accept	fixierende	-iren to -ieren
seeliger	seliger	1	residual	accept	seliger	archaic doubled e
reducirten	reduzierten	1	residual	accept	reduzierten	Latinate c to z
sanctionirt	sanktioniert	1	residual	accept	sanktioniert	c to k, -irt to -iert
bewuſstwerdenden	bewusstwerdenden	1	ss_audit	accept	bewusstwerdenden	short u takes ss
Anstoſs	Anstoss	1	ss_audit	rewrite	Anstoß	long o takes ß
ahndend	ahnend	1	residual	accept	ahnend	archaic spelling of ahnen
Souverainität	Souveränität	1	residual	accept	Souveränität	ai to ä
Tabacksdose	Tabaksdose	1	residual	accept	Tabaksdose	c to k
theil	Teil	1	residual	rewrite	teil	th to t; lowercase kept
Elephant	Elefant	1	residual	accept	Elefant	ph to f
unerschopflicher	unerschöpflicher	1	residual	accept	unerschöpflicher	OCR dropped umlaut
unermeſslichen	unermesslichen	1	ss_audit	accept	unermesslichen	short e takes ss
Schrancke	Schranke	1	residual	accept	Schranke	archaic ck simplified
Unterscheidungsmerkmahle	Unterscheidungsmerkmale	1	residual	accept	Unterscheidungsmerkmale	silent h dropped
Merkmahl	Merkmal	1	residual	accept	Merkmal	silent h dropped
Uebergänge	Übergänge	1	residual	accept	Übergänge	Ue to Ü
auſs	aus	1	residual	rewrite	aufs	context reads aufs Beobachten
perennirenden	perennierenden	1	residual	accept	perennierenden	-iren to -ieren
freygelassen	freigelassen	1	ss_audit	accept	freigelassen	ey to ei
gröſster	größter	1	residual	accept	größter	long ö takes ß
schlieſsen	schließen	1	residual	accept	schließen	long ie takes ß
reduciren	reduzieren	1	residual	accept	reduzieren	Latinate c to z
heiſst’	heisst	1	residual	rewrite	heißt’	ß; printed apostrophe kept
Vernunftinstinckt	Vernunftinstinkt	1	residual	accept	Vernunftinstinkt	archaic ck simplified
Harzelectricität	Harzelektrizität	1	residual	accept	Harzelektrizität	c to k and z
Glaselectricität	Glaselektrizität	1	residual	accept	Glaselektrizität	c to k and z
decidirte	dezidierte	1	residual	accept	dezidierte	Latinate c to z
Funde	Fand	1	residual	reject	Funde	valid dative of Fund
herauskömmt	herauskommt	1	residual	reject	herauskömmt	archaic inflection stays
reagirend	reagierend	1	residual	accept	reagierend	-irend to -ierend
Aeuſseren	Äußeren	1	residual	accept	Äußeren	Ae to Ä, ß
sensibeln	sensiblen	1	residual	reject	sensibeln	inflected form stays
vergröſsere	vergrössere	1	ss_audit	rewrite	vergrößere	long ö takes ß
Groſses	großes	1	residual	rewrite	Großes	capital kept; long o ß
Elektricitäten	Elektrizitäten	1	residual	accept	Elektrizitäten	Latinate c to z
Reitze	Reize	1	residual	accept	Reize	archaic tz simplified
Reitzempfänglichkeit	Reizempfänglichkeit	1	residual	accept	Reizempfänglichkeit	archaic tz simplified
entbundne	entbundene	1	residual	reject	entbundne	elision stays
flieſsendes	fließendes	1	residual	accept	fließendes	long ie takes ß
isolirten	isolierten	1	residual	accept	isolierten	-irten to -ierten
Gesetes	Gestes	1	residual	rewrite	Gesetzes	OCR for Gesetzes
Aeuſserlichen	äußerlichen	1	residual	rewrite	Äußerlichen	capital kept; Ae to Ä, ß
gemeinheit	Gemeinheit	1	residual	reject	gemeinheit	printed split of Allgemeinheit
Aufgefaſste	Aufgefasste	1	ss_audit	accept	Aufgefasste	short a takes ss
Potenzirung	Potenzierung	1	residual	accept	Potenzierung	-irung to -ierung
gröſsern	größeren	1	residual	rewrite	größern	elision stays; long ö ß
geringern	geringeren	1	residual	reject	geringern	elision stays
hiebei	hierbei	1	residual	rewrite	hierbei	hie-→hier- per plan precedent
niedern	niederen	1	residual	reject	niedern	elision stays
aufgefaſste	aufgefasste	1	ss_audit	accept	aufgefasste	short a takes ss
wirkchen	Werkchen	1	residual	rewrite	wirklichen	OCR for wirklichen
verhieſs	verhieß	1	residual	accept	verhieß	long ie takes ß
übergetragen	übertragen	1	residual	reject	übergetragen	archaic participle stays
freygelassene	Freigelassene	1	residual	rewrite	freigelassene	ey to ei; lowercase kept
Gröſsenbestimmtheiten	Grössenbestimmtheiten	1	ss_audit	rewrite	Größenbestimmtheiten	long ö takes ß
zusammengefaſsten	zusammengefassten	1	ss_audit	accept	zusammengefassten	short a takes ss
representiren	repräsentieren	1	residual	accept	repräsentieren	modern Latinate spelling
Systematisiren	Systematisieren	1	residual	accept	Systematisieren	-iren to -ieren
systematisirende	systematisierende	1	residual	accept	systematisierende	-iren to -ieren
Lebendigheit	Lebendighit	1	residual	rewrite	Lebendigkeit	OCR h for k
müssige	müßige	1	residual	accept	müßige	long ü takes ß
Klimate	Klimata	1	residual	reject	Klimate	valid modern plural
freyläſst	freilässt	1	ss_audit	accept	freilässt	ey to ei; short a ss
äuſsre	äußere	1	residual	rewrite	äußre	elision stays; äu takes ß
auſserhalb	außerhalb	1	residual	accept	außerhalb	au diphthong takes ß
Wiederschein	Widerschein	1	residual	accept	Widerschein	wieder/wider now distinguished
Umgränzung	Umgrenzung	1	residual	accept	Umgrenzung	ä to e
einflieſsenden	einfließenden	1	residual	accept	einfließenden	long ie takes ß
auseinanderſullen	aufeinandersollen	1	residual	rewrite	auseinanderfallen	OCR for auseinanderfallen
Hiezu	Hierzu	1	residual	rewrite	Hierzu	hie-→hier- per plan precedent
angebohrner	angeborener	1	residual	rewrite	angeborner	silent h dropped; elision stays
Auſsenseite	Aussenseite	1	ss_audit	rewrite	Außenseite	au diphthong takes ß
Wissenschafſten	Wissenschafsten	1	ss_audit	rewrite	Wissenschaften	OCR stray long-s
Aeuſserlichkeiten	Äusserlichkeiten	1	residual	rewrite	Äußerlichkeiten	Ae to Ä; äu takes ß
Chiromante	Chiromanta	1	residual	reject	Chiromante	archaic noun form stays
vollbringens	Vollbringens	1	residual	reject	vollbringens	surface lowercase kept
zurückgehaltne	zurückgehaltene	1	residual	reject	zurückgehaltne	elision stays
Beauſsichtigen	Beaufsichtigen	1	residual	accept	Beaufsichtigen	long-s misread for f
Bewandtniſs	Bewandtnis	1	residual	accept	Bewandtnis	-nis takes single s
Entschluſs	Entschluss	1	ss_audit	accept	Entschluss	short u takes ss
befestigtern	befestigteren	1	residual	reject	befestigtern	elision stays
charakterisirt	charakterisiert	1	residual	accept	charakterisiert	-irt to -iert
ächtes	echtes	1	residual	accept	echtes	archaic ä for e
miſshandeln	misshandeln	1	ss_audit	accept	misshandeln	short i takes ss
Auſsen	Aussen	1	ss_audit	rewrite	Außen	au diphthong takes ß
ausgeschiedne	ausgeschiedene	1	residual	reject	ausgeschiedne	elision stays
innwohnenden	innewohnenden	1	residual	reject	innwohnenden	archaic form stays
bewiese	beweise	1	residual	reject	bewiese	valid Konjunktiv II
construirt	konstruiert	1	residual	accept	konstruiert	c to k, -irt to -iert
Erlaubniſs	Erlaubnis	1	residual	accept	Erlaubnis	-nis takes single s
innwohnen	innewohnen	1	residual	reject	innwohnen	archaic form stays
Deseyns	Daseins	1	residual	accept	Daseins	OCR e for a
gefäſst	gefasst	1	residual	accept	gefasst	OCR umlaut; short a ss
expandirteres	expandierteres	1	residual	accept	expandierteres	-irt to -iert
contrahirteres	kontrahierteres	1	residual	accept	kontrahierteres	c to k, -irt to -iert
vergröſserte	vergrösserte	1	ss_audit	rewrite	vergrößerte	long ö takes ß
passiren	passieren	1	residual	accept	passieren	-iren to -ieren
Wirklichheit	Wirklichhit	1	residual	rewrite	Wirklichkeit	OCR h for k
subsumirt	subsumiert	1	residual	accept	subsumiert	-irt to -iert
Yoriks	Yoricks	1	residual	reject	Yoriks	proper name, folding only
reflectirendes	reflektierendes	1	residual	accept	reflektierendes	c to k, -irend to -ierend
lieſsen	ließen	1	residual	accept	ließen	ss after long ie
vergröſsern	vergrößern	1	residual	accept	vergrößern	gross takes ss
formiren	formieren	1	residual	accept	formieren	-iren to -ieren
wenu	wenn	1	residual	accept	wenn	print damage for wenn
Schattirungen	Schattierungen	1	residual	accept	Schattierungen	-irungen to -ierungen
vorbeygeht	vorbeiget	1	residual	rewrite	vorbeigeht	CAB mangled verb ending
ehliche	eheliche	1	residual	accept	eheliche	ehlich not valid modern German
geliebkost	liebkost	1	residual	reject	geliebkost	CAB dropped ge- prefix
Verläugnung	Verleugnung	1	residual	accept	Verleugnung	aeu to eu modernization
gröſser	größer	1	residual	accept	größer	gross takes ss
grösserem	größerem	1	residual	accept	größerem	gross takes ss
Uebersicht	Übersicht	1	residual	accept	Übersicht	Ue to U-umlaut
verlohren	verloren	1	residual	accept	verloren	silent h dropped
Proceſse	Prozesse	1	residual	accept	Prozesse	c to z Latinate
existirende	existierende	1	residual	accept	existierende	-irende to -ierende
existirend	existierend	1	residual	accept	existierend	-irend to -ierend
unbewuſste	unbewusste	1	ss_audit	accept	unbewusste	ss after short u
Aeuſsre	Äußre	1	residual	accept	Äußre	Ae to A-umlaut, diphthong ss
Aeusserlichkeit	Äusserlichkeit	1	residual	rewrite	Äußerlichkeit	aeusser- takes ss not ss
todes	Todes	1	residual	rewrite	totes	adjective in totes Ding
giebt	gibt	1	residual	accept	gibt	silent e dropped
entäuſserte	entäußerte	1	residual	accept	entäußerte	aeusser- takes ss
albernern	alberneren	1	residual	reject	albernern	valid modern elided inflection
wiederhohlte	wiederholte	1	residual	accept	wiederholte	silent h dropped
Machens	Machen_es	1	residual	reject	Machens	CAB split artifact
gesezt	gesetzt	1	residual	accept	gesetzt	tz restored
practische	praktische	1	residual	accept	praktische	c to k Latinate
unsern	unseren	1	residual	reject	unsern	valid modern elided form
gehn	gehen	1	residual	reject	gehn	valid modern elided form
dasselbige	dasselbe	1	residual	reject	dasselbige	word form, not orthography
genieſsenden	genießenden	1	residual	accept	genießenden	ss after long ie
seye	sei	1	residual	accept	sei	archaic seye to sei
gestürtzt	gestürzt	1	residual	accept	gestürzt	tz simplified
continuirlichen	kontinuierlichen	1	residual	accept	kontinuierlichen	c to k, -irlichen to -ierlichen
erkännte	erkannte	1	residual	rewrite	erkennte	Konjunktiv II, not past indicative
Entgegengesezte	Entgegengesetzte	1	residual	accept	Entgegengesetzte	tz restored
blose	bloße	1	residual	accept	bloße	bloss takes ss
itzigen	jetzigen	1	residual	reject	itzigen	itzt-family lexeme kept
Ueberschreitung	Überschreitung	1	residual	accept	Überschreitung	Ue to U-umlaut
gesetzmäſsigen	gesetzmässigen	1	ss_audit	rewrite	gesetzmäßigen	-maessig takes ss
betrognen	betrogenen	1	residual	reject	betrognen	valid modern elided form
heiſs	heiss	1	ss_audit	rewrite	heißt	context das heisst, t missing
ausſprach	aussprach	1	ss_audit	accept	aussprach	aus+sprach, ss correct
daraussetzen	daraufsetzen	1	residual	reject	daraussetzen	CAB guessed daraufsetzen
Gesezes	Gesetzes	1	residual	accept	Gesetzes	tz restored
unmittellbar	unmittelbar	1	residual	accept	unmittelbar	print doubled l
anfaſst	anfasst	1	ss_audit	accept	anfasst	ss after short a
Schwerdt	Schwert	1	residual	accept	Schwert	dt to t
Ansichseyende	An-sich-seiende	1	residual	rewrite	Ansichseiende	compound stays one word
Misbrauche	Missbrauche	1	residual	accept	Missbrauche	ss after short i
existirendes	existierendes	1	residual	accept	existierendes	-irendes to -ierendes
unsers	unseres	1	residual	reject	unsers	valid modern elided form
aufzuspreitzen	aufzuspreizen	1	residual	accept	aufzuspreizen	tz simplified
Chimären	Schimären	1	residual	reject	Chimären	Chimaere is modern spelling
unmittelbarseyende	unmittelbarseiernde	1	residual	rewrite	unmittelbarseiende	ey to ei, CAB garbled
odes	Odes	1	residual	rewrite	oder	print damage for oder
vorgefundne	vorgefundene	1	residual	reject	vorgefundne	valid modern elided form
unterschiedner	unterschiedener	1	residual	reject	unterschiedner	valid modern elided form
selbs’	selbes	1	residual	rewrite	selbst	damaged heading die Sache selbst
bestimmtern	bestimmteren	1	residual	reject	bestimmtern	valid modern elided form
