gw_page	file_position	paragraph	sentence	anchor_reviewed	anchor_modernized	anchor_en	note
253	026	4	2	Für das Selbstbewuſstseyn als Bewuſstseyn hat	Für das Selbstbewusstsein als Bewusstsein hat	To self-consciousness qua consciousness, objective actuality	
254	026	5	4	Denn dieses, eben indem es sich	Denn dieses, eben indem es sich	For self-consciousness, precisely by being itself	
255	026	6	1	Die entwickelte Natur des wirklichen Handelns	Die entwickelte Natur des wirklichen Handelns	Ethical self-consciousness now comes to experience,	
256	026	7	5	Das sittliche Bewuſstseyn muſs sein Entgegengesetztes	Das sittliche Bewusstsein muss sein Entgegengesetztes	For the sake of this actuality,	
257	026	10	1	Werden beyde Mächte nach ihrem bestimmten	Werden beide Mächte nach ihrem bestimmten	If both powers are taken in	
258	026	11	4	Allein das Wirkliche, das dem Innerlichen	Allein das Wirkliche, das dem Innerlichen	But the actual, having taken honor	
259	026	12	7	Indem das Gemeinwesen sich nur durch	Indem das Gemeinwesen sich nur durch	Because the communal being gives itself	
260	026	12	17	— Wie vorhin nur Penaten im	— Wie vorhin nur Penaten im	— Just as before it was	
261	027	1	3	— Was in der Welt der	— Was in der Welt der	— What in the world of	
262	027	4	2	Jene geht in die skeptische Verwirrung	Jene geht in die skeptische Verwirrung	The former passes over into the	
263	027	5	3	Er ist Person; aber die einsame	Er ist Person; aber die einsame	A person he is; but the	
264	027	7	4	Sie besteht darin, daſs diſs allgemeine	Sie besteht darin, dass dies allgemeine	It consists in this: that the	
265	028	1	8	Diſs Thun und Werden aber, wodurch	Dies Tun und Werden aber, wodurch	This doing and becoming, though, by	
266	028	3	7	Wie nun die sittliche Welt aus	Wie nun die sittliche Welt aus	Just as the ethical world, out	
267	029	1	4	Diese Flucht aus dem Reiche der	Diese Flucht aus dem Reiche der	Such flight away from the realm	
268	030	2	6	Zweck und Inhalt aber desselben gehört	Zweck und Inhalt aber desselben gehört	The will's purpose and content, however,	
269	030	4	3	— Durch das Selbst als die	— Durch das Selbst als die	— By way of the self	
270	030	6	3	Das Andere dagegen ist das passive	Das Andere dagegen ist das passive	The other, by contrast, is spiritual	
271	030	8	2	— Es ist aber zugleich als	— Es ist aber zugleich als	— As spirit, though, it is	
272	030	9	6	— Das zweyte Ansich derselben zunächst,	— Das zweite Ansich derselben zunächst,	— To begin with, their second	
273	030	12	4	Die gleichfindende Beziehung des Bewuſstseyns ist	Die gleichfindende Beziehung des Bewusstseins ist	Accordingly, the relation of consciousness that	
274	030	15	4	Um dieser Trennung willen fällt auch	Um dieser Trennung willen fällt auch	On account of this separation the	
275	030	18	2	— Diſs Selbstbewuſstseyn gilt als ein	— Dies Selbstbewusstsein gilt als ein	— Such a self-consciousness is valid	
276	030	20	3	Dadurch daſs der abgeſchiedne innre Geiſt,	Dadurch dass der abgeschiedne innre Geist,	In that the sequestered inner spirit,	
277	030	22	4	Die geistige Substanz tritt als solche	Die geistige Substanz tritt als solche	The spiritual substance enters into existence	
278	030	24	2	— Der Heroismus des stummen Dienſtes	— Der Heroismus des stummen Dienstes	— The heroism of mute service	
279	030	25	4	An ihm wird die Staatsgewalt erſt	An ihm wird die Staatsgewalt erst	Only in the noble-minded consciousness does	
280	030	28	1	Der Reichthum hat an ihm selbst	Der Reichtum hat an ihm selbst	In wealth itself the moment of	
281	030	31	1	Wenn alſo von dem Reichthum diſs	Wenn also von dem Reichtum dies	If, then, this consciousness does get	
282	030	33	1	Wie das Selbstbewuſstseyn gegen die Staatsmacht	Wie das Selbstbewusstsein gegen die Staatsmacht	As self-consciousness had a language of	
283	030	34	3	— Die allgemeine Macht, welche die	— Die allgemeine Macht, welche die	— Universal power, being the substance,	
284	030	35	2	Dieſe Rede ist die Verrüktheit des	Diese Rede ist die Verrücktheit des	This discourse is the derangement of	
285	030	37	1	Ersetzt das einfache Bewuſstseyn diesen geistlosen	Ersetzt das einfache Bewusstsein diesen geistlosen	Suppose the simple consciousness puts in	
286	030	39	4	— Es weiſs also jedes Moment	— Es weiß also jedes Moment	— It thus knows how to	
287	031	1	4	Denn es tritt aus der Wirklichkeit	Denn es tritt aus der Wirklichkeit	For consciousness does step out of	
288	031	2	5	Sie ist alſo zwar nicht mehr	Sie ist also zwar nicht mehr	Religion is thus no longer the	
289	031	3	16	Wenn jene nicht aus dem Selbſtbewuſstseyn	Wenn jene nicht aus dem Selbstbewusstsein	While the former never steps out	
290	031	6	1	Sie nach der äuſſern Beſtimmung ihrer	Sie nach der äußern Bestimmung ihrer	To name them briefly according to	
291	031	9	1	In der reinen Einsicht aber ist	In der reinen Einsicht aber ist	In pure insight, on the other	
292	031	11	11	In diesem unendlichen Urtheile ist alle	In diesem unendlichen Urteile ist alle	This infinite judgment wipes out all	
293	032	3	1	Sie wird durch diſs eiufache Mittel	Sie wird durch dies einfache Mittel	By this simple means it will	
294	033	1	3	— Dem Glauben kommt, wie beyde	— Dem Glauben kommt, wie beide	— In the manner in which	
295	033	4	1	Die Beziehung der reinen Einsicht auf	Die Beziehung der reinen Einsicht auf	Pure insight's relation to the ingenuous	
296	033	5	11	Baradautz! der Götze liegt am Boden.“	Baradautz! der Götze liegt am Boden.“	Baradautz! the idol lies on the	
297	033	8	8	Als reine Einsicht ist sie ohne	Als reine Einsicht ist sie ohne	Taken as pure insight it has	
298	033	9	8	— Ferner indem dasjenige mir Gegenſtand	— Ferner indem dasjenige mir Gegenstand	— Furthermore, when what is an	
299	033	10	5	Sie sagt unmittelbar das, was sie	Sie sagt unmittelbar das, was sie	What it declares to be alien	
300	033	12	6	Dieſer ihr Gegenſtand erſcheint ihr an	Dieser ihr Gegenstand erscheint ihr an	This object of its own shows	
301	033	14	7	In ihrer Verwirklichung alſo begriffen, entwickelt	In ihrer Verwirklichung also begriffen, entwickelt	Engaged, then, in its own actualization,	
302	033	16	1	Hienach ſehen wir in Anfehung der	Hiernach sehen wir in Ansehung der	In view of purposiveness, accordingly, we	
303	033	17	6	Welches iſt die Wahrheit, welche die	Welches ist die Wahrheit, welche die	What truth has the Enlightenment spread	
304	033	19	1	Das dritte Moment der Wahrheit der	Das dritte Moment der Wahrheit der	The third moment of the Enlightenment's	
305	033	20	5	— Er muſs auch vom Baume	— Er muss auch vom Baume	— He must have picked from	
306	033	23	1	Der Glauben hat das göttliche Recht,	Der Glauben hat das göttliche Recht,	Against the Enlightenment faith possesses divine	
307	033	25	5	Sie bringt daher nicht die Einheit	Sie bringt daher nicht die Einheit	It therefore does not bring forth	
308	033	26	6	— Umgekehrt aber ſagt die reine	— Umgekehrt aber sagt die reine	— Conversely, though, pure insight says	
309	033	29	1	Endlich findet sie in ihrer Ansicht	Endlich findet sie in ihrer Ansicht	Finally, in its view of the	
310	033	32	1	Die Aufklärung hat alſo über den	Die Aufklärung hat also über den	The Enlightenment therefore has an irresistible	
311	033	33	7	Sie ſelbſt hat dieſen Makel des	Sie selbst hat diesen Makel des	The Enlightenment itself bears this blemish	
312	034	1	10	Indem er dieſe Einheit nicht erkennt,	Indem er diese Einheit nicht erkennt,	Failing to cognize this unity, it	
313	034	5	3	Beydes ist, wie wir geſehen, ſchlechthin	Beides ist, wie wir gesehen, schlechthin	As we have seen, the two	
314	034	6	3	Diese einfache achsendrehende Bewegung muſs sich	Diese einfache achsendrehende Bewegung muss sich	This simple movement rotating on its	
315	034	7	10	Die reine Einsicht hat alſo an	Die reine Einsicht hat also an	So in the useful pure insight	
316	034	8	13	Das Nützliche ist der Gegenſtand, inſofern	Das Nützliche ist der Gegenstand, insofern	The useful is that object, insofar	
317	035	2	4	Der Gegenſtand iſt aber für das	Der Gegenstand ist aber für das	For consciousness, though, the object has	
318	035	4	4	Er tritt ſo in die Exiſtenz,	Er tritt so in die Existenz,	It steps into existence in this	
319	035	7	4	Diſs Andersſeyn wäre der Unterſchied an	Dies Anderssein wäre der Unterschied an	This otherness would be the difference	
320	035	9	4	Nachdem ſie mit der Vertilgung der	Nachdem sie mit der Vertilgung der	Having finished off the real organization	
321	035	11	3	Als dieſes iſt ſie ſich der	Als dieses ist sie sich der	As this it is its own	
322	035	13	4	Die Bildung, die es in der	Die Bildung, die es in der	The culture it gains through interaction	
323	035	13	11	Es verliert darin nicht sich selbst,	Es verliert darin nicht sich selbst,	In this it does not lose	
324	036	1	5	Es ist nemlich über den Gegensatz	Es ist nämlich über den Gegensatz	For it has made itself master	
325	037	1	2	So aber in sich selbſt beschloſſen	So aber in sich selbst beschlossen	Sealed up within itself in this	
326	037	4	1	Das moralische Bewuſstſeyn kann nicht auf	Das moralische Bewusstsein kann nicht auf	Happiness is something moral consciousness cannot	
327	037	5	2	Die Natur ist nemlich nicht nur	Die Natur ist nämlich nicht nur	For nature is not just this	
328	037	5	15	In der Harmonie aber verſchwindet die	In der Harmonie aber verschwindet die	Within the harmony, on the other	
329	037	7	4	Zugleich aber durch den Begriff des	Zugleich aber durch den Begriff des	Yet since they are necessary through	
330	037	10	1	Weil es hiemit geſetzt iſt, daſs	Weil es hiermit gesetzt ist, dass	Since it is hereby posited that	
331	037	13	4	Daher iſt ihm der Gegenſtand ſeines	Daher ist ihm der Gegenstand seines	The object belonging to its actual	
332	037	17	1	In diesem Ziele der ſynthetischen Einheit	In diesem Ziele der synthetischen Einheit	Within this goal, which is the	
333	038	2	3	Zugleich ist es sich seines Widerſpruches	Zugleich ist es sich seines Widerspruches	At the same time it is	
334	038	4	2	Aber in der That iſt die	Aber in der Tat ist die	But in fact the actual action	
335	038	6	2	Es geht davon aus, daſs für	Es geht davon aus, dass für	It starts out from the claim	
336	038	7	14	Die Harmonie beyder ist also nur	Die Harmonie beider ist also nur	The harmony of the two is	
337	038	9	4	— Die Nichtmoralität ſpricht eben hierin	— Die Nichtmoralität spricht eben hierin	— In just this, non-morality declares	
338	038	11	8	Es weiſs aber nur die reine	Es weiß aber nur die reine	But it knows pure duty alone	
339	038	14	1	In diesem rein moralischen Wesen aber	In diesem rein moralischen Wesen aber	Within this purely moral essence, though,	
340	038	16	3	Das Bewuſstseyn, das diesen Unterschied macht,	Das Bewusstsein, das diesen Unterschied macht,	The consciousness that draws this difference	
341	039	1	2	Diese sich selbst widersprechende Vorstellung nahm	Diese sich selbst widersprechende Vorstellung nahm	Moral self-consciousness did not take this	
342	039	2	9	Als Gewiſſen erst hat es in	Als Gewissen erst hat es in	Only as conscience does it possess,	
343	039	4	8	Das Gewiſſen ist vielmehr das negative	Das Gewissen ist vielmehr das negative	Conscience is instead that negative One,	
344	039	7	1	Diſs in seiner Einheit und in	Dies in seiner Einheit und in	Looked at more closely in its	
345	039	9	5	Sein Anſich ist ihm entweder das	Sein Ansich ist ihm entweder das	Its in-itself is for it either	
346	039	11	1	Das Gewiſſen in Beziehung auf die	Das Gewissen in Beziehung auf die	If we consider conscience with respect	
347	039	12	9	Dieſe ist als Beſtimmung und Inhalt	Diese ist als Bestimmung und Inhalt	This certainty, in the role of	
348	039	13	8	Die Feigheit darf aber nicht ſo	Die Feigheit darf aber nicht so	Cowardice, though, dare not be so	
349	039	14	7	Sondern vielmehr was der Einzelne für	Sondern vielmehr was der Einzelne für	On the contrary, what the singular	
350	039	17	1	Darin aber, daſs diſs Rechte, was	Darin aber, dass dies Rechte, was	But an inequality seems to attach	
351	039	19	5	Was da ſeyn ſoll, iſt hier	Was da sein soll, ist hier	What is to be there counts	
352	039	22	8	— Die Handlung verwirklichen heiſst hier	— Die Handlung verwirklichen heißt hier	— To actualize the action means	
353	039	24	2	Sie iſt ebenſo der Gottesdienſt in	Sie ist ebenso der Gottesdienst in	It is likewise worship carried on	
354	039	26	2	Es verſinkt in dieſem Begriffe seiner	Es versinkt in diesem Begriffe seiner	Within this concept of its own	
355	039	27	10	Der hohle Gegenſtand, den es ſich	Der hohle Gegenstand, den es sich	The hollow object that it produces	
356	039	29	2	— Seine Beſonderheit beſteht darin, daſs	— Seine Besonderheit besteht darin, dass	— Its particularity lies in this:	
357	039	31	5	Denn wäre diſs Geſetz und Gewiſſen	Denn wäre dies Gesetz und Gewissen	For were such a law and	
358	039	34	1	Das Urtheilen iſt aber auch als	Das Urteilen ist aber auch als	But judging must also be regarded	
359	039	34	11	So gibt es für das Beurtheilen	So gibt es für das Beurteilen	So too, for judging there exists	
360	039	36	7	Das Andre aber behält an ihm	Das Andre aber behält an ihm	The other, however, holds in reserve	
361	039	38	4	Das verwirklichende Selbſt, die Form seiner	Das verwirklichende Selbst, die Form seiner	The self that actualizes, the form	
362	039	40	6	— Beyde ihrer selbst gewiſſen Geiſter	— Beide ihrer selbst gewissen Geister	— Neither of these two spirits	
363	040	1	1	In den bisherigen Geſtaltungen, die sich	In den bisherigen Gestaltungen, die sich	Among the formations dealt with hitherto,	
364	040	4	1	Dieſer Glauben an das Nichts der	Dieser Glauben an das Nichts der	Such faith in the nullity of	
365	040	7	2	Wie wir nun es wiſſen, daſs	Wie wir nun es wissen, dass	Now just as we know that	
366	040	8	9	Jedes jener Momente ſahen wir nemlich	Jedes jener Momente sahen wir nämlich	For we saw each of those	
367	040	10	2	— In der betrachteten Reihe bildete	— In der betrachteten Reihe bildete	— Within the series we considered,	
368	040	11	4	Diſs Seyn ist zwar weder mit	Dies Sein ist zwar weder mit	This being, to be sure, is	
369	041	1	1	Der den Geist wiſſende Geist ist	Der den Geist wissende Geist ist	Spirit that has knowledge of spirit	
370	041	1	13	— Durch diese Thätigkeit ist die	— Durch diese Tätigkeit ist die	— By this activity the lower	
371	042	1	3	— Es ist das reine Ich,	— Es ist das reine Ich,	— It is the pure I	
372	042	4	4	Das reine Licht wirft seine Einfachheit	Das reine Licht wirft seine Einfachheit	Pure light casts its simplicity apart	
373	043	2	4	Das Bewuſstseyn des Geistes ist also	Das Bewusstsein des Geistes ist also	From now on, then, the consciousness	
374	044	3	4	Indem das Werk in seinen Seiten	Indem das Werk in seinen Seiten	When the work approaches itself in	
375	044	5	6	Das Werk daher, wenn es sich	Das Werk daher, wenn es sich	The work, then, even where it	
376	045	1	1	Der Geist hat seine Gestalt, in	Der Geist hat seine Gestalt, in	Spirit has lifted the shape in	
377	045	3	4	Aber jenes ruhige unmittelbare Vertrauen zur	Aber jenes ruhige unmittelbare Vertrauen zur	But that calm immediate trust in	
378	045	6	1	Die Exiſtenz des reinen Begriffs, in	Die Existenz des reinen Begriffs, in	The existence of the pure concept,	
379	046	3	2	Die menschliche Gestalt ſtreifft das thierische.	Die menschliche Gestalt streift das tierische.	Human shape sheds the animal element	
380	046	4	5	Das gemeine an dem Kunſtwerke, daſs	Das gemeine an dem Kunstwerke, dass	The ordinary feature of the work	
381	046	6	7	Sie behält die Einzelnheit des Selbſtbewuſstseyns	Sie behält die Einzelnheit des Selbstbewusstseins	The hymn retains within itself the	
382	046	8	4	Wie, jener Weiſe des Alterthums, was	Wie, jener Weise des Altertums, was	Just as that ancient sage looked	
383	046	11	2	Dieſe Andacht iſt die unmittelbare reine	Diese Andacht ist die unmittelbare reine	Such devotion is the self's immediate,	
384	046	14	2	Er thut hierin vor dem Weſen	Er tut hierin vor dem Wesen	In doing this he gives up,	
385	046	15	3	— Es wird dadurch theils die	— Es wird dadurch teils die	— In part this sublates the	
386	047	1	6	Weil das Weſen alſo hier das	Weil das Wesen also hier das	Since the essence here has the	
387	047	4	1	Was hiemit durch den Cultus dem	Was hiermit durch den Kultus dem	What has thereby been revealed through	
388	047	6	6	Wenn jeder einzelne wenigſtens als Fackelträger	Wenn jeder einzelne wenigstens als Fackelträger	While each singular individual knows how	
389	048	1	2	Die reine Anſchauung seiner ſelbſt als	Die reine Anschauung seiner selbst als	Within the actuality that a people's	
390	048	3	6	Er ist das in seinem Inhalte	Er ist das in seinem Inhalte	He is the organ that disappears	
391	048	4	13	Wenn ihre elementarischen Naturen durch das	Wenn ihre elementarischen Naturen durch das	Although only individuality's free self brings	
392	048	6	2	Der Inhalt der Welt der Vorstellung	Der Inhalt der Welt der Vorstellung	Loosed and on its own, the	
393	048	8	2	Es ist das gemeine Volk überhaupt,	Es ist das gemeine Volk überhaupt,	It is the common people at	
394	048	10	3	Wenn also die sittliche Substanz sich	Wenn also die sittliche Substanz sich	If, then, the ethical substance split	
395	048	11	10	Daher das Bewuſstseyn, das reiner iſt,	Daher das Bewusstsein, das reiner ist,	This is why a consciousness purer	
396	048	14	3	Die Raserey der Prieſterin, die unmenschliche	Die Raserei der Priesterin, die unmenschliche	The priestess's raving, the witches' unhuman	
397	048	15	4	Die weiter aus dem Begriffe in	Die weiter aus dem Begriffe in	Those moments, by contrast, which scatter	
398	048	18	5	Das Aufspreitzen der allgemeinen Wesenheit iſt	Das Aufspreizen der allgemeinen Wesenheit ist	The preening of universal essentiality has	
399	048	20	3	Indem die zufällige Beſtimmung und oberflächliche	Indem die zufällige Bestimmung und oberflächliche	As that contingent determination, and that	
400	049	1	1	Durch die Religion der Kunſt iſt	Durch die Religion der Kunst ist	By way of the religion of	
401	049	2	5	Es wird hiedurch erreicht, daſs, wenn	Es wird hierdurch erreicht, dass, wenn	The upshot attained is this: given	
402	049	6	2	Sowohl der Selbſtwerth seiner unmittelbaren Persönlichkeit,	Sowohl der Selbstwert seiner unmittelbaren Persönlichkeit,	Gone for it is the self-worth	
403	049	7	2	— Der Kreis der Hervorbringungen der	— Der Kreis der Hervorbringungen der	— Art's productions form a circle	
404	049	9	2	Denn alsdann ist alles Daſeyn nur	Denn alsdann ist alles Dasein nur	For then every existence counts as	
405	049	11	2	So iſt es nicht Einbildung, ſondern	So ist es nicht Einbildung, sondern	So understood, it is no imagining;	
406	049	12	13	— Indem sie gewuſst werden, ist	— Indem sie gewusst werden, ist	— So long as they are	
407	049	14	4	Gott iſt alſo hier offenbar, wie	Gott ist also hier offenbar, wie	Here, then, God stands revealed as	
408	049	16	4	— Denn als solches, das ihn	— Denn als solches, das ihn	— For so long as it	
409	049	19	6	Dieſer Zurückführung liegt der Instinct zu	Dieser Zurückführung liegt der Instinct zu	Underlying such tracing back is the	
410	049	22	1	Der Geist zuerst als Subſtanz im	Der Geist zuerst als Substanz im	Represented at first as substance within	
411	049	24	4	Indem es ſo im Denken ſelbſt	Indem es so im Denken selbst	Since it relates itself representationally in	
412	049	27	1	Der alſo nur ewige oder abstracte	Der also nur ewige oder abstrakte	Spirit, then, being merely eternal or	
413	049	29	2	Zugleich aber ist um eben dieſer	Zugleich aber ist um eben dieser	At the same time, though, and	
414	049	30	2	Indem ihr Gegenſatz ſich noch nicht	Indem ihr Gegensatz sich noch nicht	Since their opposition remains undissolved, and	
415	049	32	5	Es wird diſs als ein freiwilliges	Es wird dies als ein freiwilliges	This is represented as a voluntary	
416	049	33	8	— Wenn dieſe Verſöhnung nach ihrem	— Wenn diese Versöhnung nach ihrem	— If this reconciliation is expressed	
417	049	33	17	— Dieſe geiſtige Einheit oder die	— Diese geistige Einheit oder die	— What has come to be	
418	049	36	1	Wenn also in dem vorstellenden Bewuſstſeyn	Wenn also in dem vorstellenden Bewusstsein	If, then, within representing consciousness the	
419	049	38	2	Das zunächst vorhergehende Element des Vorſtellens	Das zunächst vorhergehende Element des Vorstellens	The element of representing that immediately	
420	049	39	4	Wie uns der Begriff des Geistes	Wie uns der Begriff des Geistes	Just as the concept of spirit	
421	049	40	9	Seine eigne Versöhnung tritt daher als	Seine eigne Versöhnung tritt daher als	Reconciliation of its own therefore enters	
422	050	1	1	Der Geiſt der offenbaren Religion hat	Der Geist der offenbaren Religion hat	Revealed religion's spirit has not yet	
423	050	2	2	Er iſt, als Ganzes, der Schluſs	Er ist, als Ganzes, der Schluss	As a whole it is the	
424	050	4	3	Die Dinge ſind schlechthin nützlich, und	Die Dinge sind schlechthin nützlich, und	Things are simply useful, and are	
425	050	6	7	Die Wirklichkeit hat also hier für	Die Wirklichkeit hat also hier für	Thus for self-consciousness actuality, taken as	
426	050	8	6	Sie iſt nemlich sein Wiſſen von	Sie ist nämlich sein Wissen von	For the beautiful soul is spirit's	
427	050	9	11	Diſs Ablaſſen ist daſſelbe Verzichtthun auf	Dies Ablassen ist dasselbe Verzichttun auf	That giving-up is the very renunciation	
428	050	11	5	Dadurch iſt dasjenige zum Elemente des	Dadurch ist dasjenige zum Elemente des	Thereby what has turned into the	
429	050	14	6	Zuerſt gehören dem Selbſtbewuſstſeyn daher von	Zuerst gehören dem Selbstbewusstsein daher von	So to begin with, what belongs	
430	050	15	8	— Eh daher der Geist nicht	— Ehe daher der Geist nicht	— Hence spirit cannot reach completion	
431	050	16	8	— Oder Ich ist nicht nur	— Oder Ich ist nicht nur	— Or: the I is not	
432	050	18	2	Er hat das reine Element seines	Er hat das reine Element seines	It has attained the concept, the	
433	050	20	1	Doch ist diese Entäuſſerung noch unvollkommen;	Doch ist diese Entäußerung noch unvollkommen;	Still, this externalization remains incomplete; what	
434	050	21	2	Diſs Werden ſtellt eine träge Bewegung	Dies Werden stellt eine träge Bewegung	What this becoming presents is a	
