id	volume	gw_page	class	gw_text	dta_text	ruling	certainty	ctx_before	ctx_after	note
h2-0147	12	216	residual		auschaubares	keep_gw	sure	sie, wie die Raumfiguren sind ein	anschaubares, aber ihre Anschauung ist so	auschaubares = u/n-Verdrehung im Druck
h2-0148	12	221	residual	[zu]		keep_gw	sure	mit Unrecht gewöhnlich als absolut-Erste genommen	werden, als ob sie an und	GW-Herausgeberergänzung in eckigen Klammern
h2-0149	12	228	residual	gebracht.[^fn-233-1]	gebracht	keep_gw	sure	Anwendung gezeigt und um den Credit	Den Glauben an die Tauglichkeit und	GW-Herausgeberergänzung in eckigen Klammern
h2-0150	12	232	near_word	solcher	solchen	keep_gw	sure	Ansichseyns Was so der Form als	nach, als Gegensatz erscheint, erscheint an	der Form als solcher nach: Genitiv/Dativ feminin
h2-0151	12	233	residual	323ff.	548 ff.	keep_gw	sure	in der Phänomenologie des Geistes S.	näher betrachtet worden. Indem die Idee	Seitenverweis auf GW-Paginierung umgestellt
h2-0152	12	234	residual		ausgeführtee	keep_gw	sure	nun in der Zweckbeziehung überhaupt der	ausgeführte Zweck zwar auch wieder nur	ausgeführtee = Druckdefekt
h2-0153	12	244	near_word	untergegangen	untergangen	keep_gw	uncertain	dieser negativen Seite in dem Andern	aber das Andere ist wesentlich nicht	untergangen zeitübliche Form; GW wohl emendiert
h2-0154	12	245	residual	den	dem	keep_gw	sure	erhalten Das Positive in seinem Negativen,	Inhalt der Voraussetzung im Resultate festzuhalten,	den Inhalt ... festzuhalten: Akkusativ
h2-0155	12	247	residual	[ist]		keep_gw	sure	und daher ohne Folge aufgestellt worden,	gleichfalls als ein unendliches Verdienst der	GW-Herausgeberergänzung in eckigen Klammern
h2-0156	12	250	residual	[an],		keep_gw	sure	die Methode keine neue Weise damit	daß sich durch das erste ihrer	GW-Herausgeberergänzung in eckigen Klammern
h2-0157	12	253	residual		In der Verlagshandlung ist ferner erschienen und durch jede gute Buchhandlung zu haben Betrachtungen über den gegenwärtigen Zustand der Philosophie in Deutschland überhaupt und über die Schellingische Philosophie im Besondern. gr. 8. 1813 1 thlr. 6 gr. oder 1 fl. 57 kr Die Schellingische Philosophie hat ungeachtet eines vieljährigen Kampfes mit ihren zahlreichen Gegnern einen entschiedenen Einfluß auf alle Ansichten von der Religion Wissenschaft und Kunst errungen und Keiner kann sie nun mehr ignoriren wenn er sich ein selbstständiges Urtheil über den gegenwärtigen Zustand der höhern Kultur in Deutschland bilden will Nichts desto weniger herrschen über sie unter ihren Anhängern und Gegnern die verschiedenartigsten und mit unter verkehrtesten Meinungen welche in vielfacher Rücksicht sehr nachtheilig auf das Ganze zurückwürken Um so willkommener muß allen Freunden der philosophischen Wissenschaften und einer wahren höhern Bildung eine Schrift seyn in welcher die so viel besprochene und so wenig gekannte Schellingische Philosophie sowohl in Beziehung auf die gleichzeitigen Philosopheme als nach ihrer Eigenthümlichkeit und ihrem Zusammenhange mit andern Wissenschaften mit Umgehung unverständlicher Kunstausdrücke so faßlich dargestellt ist als es wohl noch in keinem zu diesem Zwecke erschienenen Werke geschehen ist Kritik der Schrift Darstellung des Wesens der Philosophie des Hrn. Friedr. Köppen von Friedr. Schafberger nebst Darlegung der eigenen Ansichten des Verfassers. gr. 8. 1813 1 thlr. oder 1 fl. 36 kr Diese eben so gründlich als geistreich verfaßte Prüfung der Philosophie eines Mannes der von vielseitiger Wirkung auf die Nation ist verdient um so mehr die allgemeine Aufmerksamkeit da diese Philosophie mit der eines andern Gelehrten von großem Ruf und Einfluß in der genauesten Verbindung steht weshalb vorliegende Schrift als ein merkwürdiger Beitrag zu dem jüngst begonnenen großen Kampf auf dem Gebiet deutscher Philosophie zu betrachten ist Kalkreuth Graf von der Dialog. gr. 8. 1811 1 thlr. 21 gr. oder 3 fl. 30 kr Ewig wird uns der göttliche Platon ein unerreichtes Muster des philosophischen Dialogs bleiben Als ein schöner Fortschritt zu diesem hohen Ziele darf gegenwärtiges Werk empfohlen werden Gleich befriedigend für die Anforderungen der Wissenschaft und Kunst werden hier die höchsten Aufgaben der Philosophie in freyer lebendiger Mittheilung entwickelt Mit geistreicher Leichtigkeit und wahrhaft platonischer Kunst leitet jedes dieser tiefsinnigen Gespräche sich ein und nicht selten wird der Leser auf Stellen treffen die aus der Tiefe der Weltanschauung hervorgegangen als ewige Gestirne in Platons unsterblichen Dialogen zu glänzen verdienten Allgemeine Zeitschrift von Deutschen für Deutsche herausgegeben von F. W. J. Schelling. 4 Hefte gr. 8 4 thlr. 16 gr. oder 7 fl. 12 kr Hegel Dr. G. W. Fr. Wissenschaft der Logik. I. Band 1te Abtheil Die Lehre vom Seyn 1 thlr. 12 gr. oder 2 fl. 24 kr I. Band 2te Abtheilung Die Lehre vom Wesen 1 thlr. 6 gr. oder 2 fl II. Band Die Lehre vom Begriff 2 thlr. 6 gr. oder 3 fl. 48 kr Das ganze Werk 68 Bogen stark kostet complett 5 thlr. oder 8 fl. 12 kr	keep_gw	sure	dem sich begreiffenden reinen Begriffe, findet.		Verlagsanzeige im Anhang des 1816-Drucks, nicht Werktext
