surface	cab_norm	count	class	ruling	result	reason
lemmatiſcher	Lemmatische	1	residual	accept	Lemmatische	cab
Tavtologien	Tautologien	1	residual	accept	Tautologien	hegel2
Fichte’ſche	Fichte'sche	1	residual	accept	Fichte'sche	cab
Paͤdagogik	Pädagogik	1	residual	accept	Pädagogik	cab
Temperatur-Aenderung	Temperatur-Änderung	1	residual	accept	Temperatur-Änderung	cab
Buͤrger	Bürger	1	residual	accept	Bürger	hegel1-paare
zehen	zehn	1	residual	accept	zehn	hegel2
uͤbereinander	übereinander	1	residual	accept	übereinander	cab
unabhaͤngiges	unabhängiges	1	residual	accept	unabhängiges	hegel1-paare
gezaͤhlte	gezählte	1	residual	accept	gezählte	cab
zuruͤckgekehrtes	zurückgekehrtes	1	residual	accept	zurückgekehrtes	hegel1-paare
eines-ſeyns	eines-seyns	1	cab_unnormalized	rewrite	eines-seins	mechanisch
verknuͤpfen	verknüpfen	1	residual	accept	verknüpfen	hegel1-paare
laͤngere	längere	1	residual	accept	längere	cab
ſchlieſſen	schließen	1	residual	accept	schließen	hegel1-paare
zuſammengeknuͤpft	zusammengeknüpft	1	residual	accept	zusammengeknüpft	cab
conſtruirenden	konstruierenden	1	residual	accept	konstruierenden	hegel2
Addirens	Addierens	1	residual	accept	Addierens	hegel2
gelaͤutert	geläutert	1	residual	accept	geläutert	hegel1-paare
Schikfal	Schicksal	1	residual	accept	Schicksal	cab
andres	anderes	1	residual	reject	andres	hegel1-tabelle
bekuͤmmert	bekümmert	1	residual	accept	bekümmert	hegel1-paare
Potenzenverhaͤltniſſe	Potenzenverhältnisse	1	residual	accept	Potenzenverhältnisse	cab
geſagte	Gesagte	1	residual	rewrite	gesagte	hegel1-tabelle
gruͤndete	gründete	1	residual	accept	gründete	cab
Ausgeſchloſſene	Ausgeschlossene	1	ss_audit	accept	Ausgeschlossene	cab
concentriſch	konzentrisch	1	residual	accept	konzentrisch	hegel2
fuͤhlen	fühlen	1	residual	accept	fühlen	hegel1-paare
An-ſich-beſtimmtſeyns	An-sich-bestimmtseyns	1	cab_unnormalized	rewrite	An-sich-bestimmtseins	mechanisch
aͤuſſert	äußert	1	residual	accept	äußert	hegel1-tabelle
Unbetraͤchtlichkeit	Unbeträchtlichkeit	1	residual	accept	Unbeträchtlichkeit	cab
Hinzufuͤgen	Hinzufügen	1	residual	accept	Hinzufügen	cab
einlaͤßt	einläßt	1	residual	rewrite	einlässt	hegel2
Verruͤktheit	Verrücktheit	1	residual	accept	Verrücktheit	hegel1-tabelle
behaͤlt	behält	1	residual	accept	behält	hegel1-paare
auſſereinanderſeyende	aussereinanderseyende	1	ss_audit	rewrite	außereinanderseiende	mechanisch
Erlaubniß	Erlaubnis	1	residual	accept	Erlaubnis	cab
Quantumsveraͤnderung	Quantumsveränderung	1	residual	accept	Quantumsveränderung	cab
angebohrne	angeborene	1	residual	rewrite	angeborne	hegel1-tabelle
Ueberwiegende	Überwiegende	1	residual	accept	Überwiegende	mechanisch
Brillen	Brüllen	1	residual	accept	Brüllen	hegel2
Qualitaͤtsloſes	Qualitätsloses	1	residual	accept	Qualitätsloses	cab
unnuͤtz	unnütz	1	residual	accept	unnütz	hegel1-paare
Geſchiklichkeit	Geschicklichkeit	1	residual	accept	Geschicklichkeit	hegel2
objectivirende	objektivierende	1	residual	accept	objektivierende	hegel2
verknuͤpftes	verknüpftes	1	residual	accept	verknüpftes	cab
Moͤgliche	Mögliche	1	residual	accept	Mögliche	cab
Aeuſſerlichem	Äußerlichem	1	residual	rewrite	Äusserlichem	mechanisch
gelaͤufigen	geläufigen	1	residual	accept	geläufigen	cab
Gegenſtaͤndlichen	Gegenständlichen	1	residual	accept	Gegenständlichen	hegel1-paare
Hinausſeyn	Hinaussein	1	ss_audit	accept	Hinaussein	hegel2
ſeye	sei	1	residual	accept	sei	hegel1-paare
Beſchraͤnkte	Beschränkte	1	residual	accept	Beschränkte	hegel1-paare
ignorirt	ignoriert	1	residual	accept	ignoriert	hegel2
unvollkommner	unvollkommener	1	residual	accept	unvollkommener	cab
aͤltere	ältere	1	residual	accept	ältere	cab
paſſiv	passiv	1	ss_audit	accept	passiv	hegel1-paare
knuͤpft	knüpft	1	residual	accept	knüpft	hegel1-paare
paͤdagogiſchen	pädagogischen	1	residual	accept	pädagogischen	hegel1-paare
diſſeits	diesseits	1	residual	accept	diesseits	hegel1-paare
producirt	produziert	1	residual	accept	produziert	hegel2
einfuͤhre	einführe	1	residual	accept	einführe	cab
nichtanſichſeyend	nichtansichseyend	1	cab_unnormalized	rewrite	nichtansichseiend	mechanisch
Daſſelbe-ſeyn	Dasselbe-seyn	1	ss_audit	rewrite	Dasselbe-sein	mechanisch
abſtoſſen	abstoßen	1	residual	accept	abstoßen	hegel1-paare
Koͤrperelemente	Körperelemente	1	residual	accept	Körperelemente	cab
Verhaͤltnißmoments	Verhältnismoments	1	residual	accept	Verhältnismoments	hegel2
Hauptſtuͤcke	Hauptstücke	1	residual	accept	Hauptstücke	cab
Seyn-fuͤr-eins	Seyn-für-eins	1	residual	rewrite	Sein-für-eins	mechanisch
Begrif	Begriff	1	residual	accept	Begriff	cab
Buͤchern	Büchern	1	residual	accept	Büchern	hegel1-paare
attrahirten	attrahierten	1	residual	accept	attrahierten	hegel2
Gleichniſſes	Gleichnisses	1	ss_audit	accept	Gleichnisses	cab
operirt	operiert	1	residual	accept	operiert	hegel2
erfaſſen	erfassen	1	ss_audit	accept	erfassen	cab
repreſentirt	repräsentiert	1	residual	accept	repräsentiert	hegel1-paare
aͤcht	echt	1	residual	accept	echt	hegel2
Maaßbeſtimmtheit	Maßbestimmtheit	1	residual	accept	Maßbestimmtheit	hegel2
groſſen	großen	1	residual	accept	großen	hegel1-tabelle
Conſtruiren	konstruieren	1	residual	accept	konstruieren	hegel2
truͤber	trüber	1	residual	accept	trüber	cab
Stikſtoff	Stickstoff	1	residual	accept	Stickstoff	hegel1-paare
unſers	unseres	1	residual	rewrite	unsers	hegel1-paare
beſtaͤndige	beständige	1	residual	accept	beständige	hegel1-paare
kontinuirt	kontinuiert	1	residual	accept	kontinuiert	cab
daſeyenden	da-seienden	1	residual	rewrite	daseienden	hegel1-tabelle
Queckſilberſaͤule	Quecksilbersäule	1	residual	accept	Quecksilbersäule	cab
glaͤnzenden	glänzenden	1	residual	accept	glänzenden	cab
ſpecifiſcher	spezifischer	1	residual	accept	spezifischer	hegel2
gleichguͤltigem	gleichgültigem	1	residual	accept	gleichgültigem	cab
erhabne	erhabene	1	residual	accept	erhabene	cab
paſſenderer	passenderer	1	ss_audit	accept	passenderer	cab
verſchwaͤnde	verschwände	1	residual	accept	verschwände	cab
groͤßten	größten	1	residual	accept	größten	cab
Ueberfliegen	überfliegen	1	residual	accept	überfliegen	hegel2
Nus	Nuss	1	residual	reject	Nus	hegel1-tabelle
zuruͤckzukehren	zurückzukehren	1	residual	accept	zurückzukehren	hegel1-paare
allgemeinern	allgemeineren	1	residual	reject	allgemeinern	hegel1-tabelle
Abkuͤrzung	Abkürzung	1	residual	accept	Abkürzung	cab
verduͤnnt	verdünnt	1	residual	accept	verdünnt	cab
erkaͤnnte	erkannte	1	residual	rewrite	erkennte	hegel1-paare
Vernuͤnftigen	Vernünftigen	1	residual	accept	Vernünftigen	cab
mannichfaltigen	mannigfaltigen	1	residual	accept	mannigfaltigen	hegel1-tabelle
un„endlich	unendlich	1	residual	accept	unendlich	cab
zugehoͤrigen	zugehörigen	1	residual	accept	zugehörigen	hegel1-paare
Knotenverhaͤltniſſen	Knotenverhältnissen	1	residual	accept	Knotenverhältnissen	cab
Willkuͤhrlichem	Willkürlichem	1	residual	accept	Willkürlichem	hegel2
zugefuͤhrt	zugeführt	1	residual	accept	zugeführt	cab
conſtruirend	konstruierend	1	residual	accept	konstruierend	hegel2
einlaſſen	einlassen	1	ss_audit	accept	einlassen	cab
folgendermaſſen	folgendermaßen	1	residual	accept	folgendermaßen	hegel2
ſpecificirendes	spezifizierendes	1	residual	accept	spezifizierendes	cab
Immaterialitaͤt	Immaterialität	1	residual	accept	Immaterialität	cab
vermittelſt	vermittels	1	residual	accept	vermittels	cab
Verhaͤltnißloſes	Verhältnisloses	1	residual	accept	Verhältnisloses	hegel2
bemaͤchtigte	bemächtigte	1	residual	accept	bemächtigte	cab
Groͤßen-Verhaͤltniſſes	Größen-Verhältnisses	1	residual	accept	Größen-Verhältnisses	cab
amalgamirt	amalgamiert	1	residual	accept	amalgamiert	hegel2
Vermoͤgenszuſtande	Vermögenszustande	1	residual	accept	Vermögenszustande	cab
willkuͤhrlichen	willkürlichen	1	residual	accept	willkürlichen	hegel1-tabelle
einraͤumen	einräumen	1	residual	accept	einräumen	cab
wegzulaſſenden	wegzulassenden	1	ss_audit	accept	wegzulassenden	cab
gemaͤße	gemäße	1	residual	accept	gemäße	cab
ſpaͤterhin	späterhin	1	residual	accept	späterhin	cab
Ruͤckwaͤrtsgehen	Rückwärtsgehen	1	residual	accept	Rückwärtsgehen	cab
Auffaſſen	Auffassen	1	ss_audit	accept	Auffassen	hegel1-paare
faſſende	fassende	1	ss_audit	accept	fassende	cab
Ausdehnungskraͤfte	Ausdehnungskräfte	1	residual	accept	Ausdehnungskräfte	cab
Gluͤck	Glück	1	residual	accept	Glück	hegel1-paare
Styl	Stil	1	residual	accept	Stil	hegel2
hinlaͤnglich	hinlänglich	1	residual	accept	hinlänglich	cab
aufloͤſend	auflösend	1	residual	accept	auflösend	cab
vindiciren	vindizieren	1	residual	accept	vindizieren	hegel1-tabelle
beſtaͤtigt	bestätigt	1	residual	accept	bestätigt	hegel1-paare
zweckmaͤſig	zweckmäßig	1	residual	accept	zweckmäßig	cab
Cavalleri	Kavallerie	1	residual	reject	Cavalleri	beibehalten (keine Quelle); prüfen
zufaͤlliges	Zufälliges	1	residual	rewrite	zufälliges	hegel1-tabelle
Zuruͤckfuͤhrung	Zurückführung	1	residual	accept	Zurückführung	hegel1-paare
Rythmus	Rhythmus	1	residual	accept	Rhythmus	hegel1-paare
Fuͤr-ſich-	Für-sich-	1	residual	accept	Für-sich-	cab
loszureiſſen	loszureißen	1	residual	accept	loszureißen	cab
verlaͤßt	verläßt	1	residual	rewrite	verlässt	hegel2
kei„ne	keine	1	residual	accept	keine	cab
Vollſtaͤndigkeit	Vollständigkeit	1	residual	accept	Vollständigkeit	hegel1-paare
Dignitaͤten	Dignitäten	1	residual	accept	Dignitäten	cab
waͤhlen	wählen	1	residual	accept	wählen	hegel1-paare
Charlatanerie	Scharlatanerie	1	residual	accept	Scharlatanerie	hegel2
Qualificirende	Qualifizierende	1	residual	accept	Qualifizierende	cab
ausgeſchmuͤckten	ausgeschmückten	1	residual	accept	ausgeschmückten	cab
abhaͤngigen	abhängigen	1	residual	accept	abhängigen	hegel1-paare
beſtaͤnden	beständen	1	residual	accept	beständen	cab
dieß	dies	1	residual	accept	dies	hegel2
Aprioritaͤt	Apriorität	1	residual	accept	Apriorität	cab
Seyendenfuͤr-	Seyendenfür-	1	residual	rewrite	Seiendenfür-	mechanisch
uͤberzeugen	überzeugen	1	residual	accept	überzeugen	hegel1-paare
verſtaͤndlicheres	verständlicheres	1	residual	accept	verständlicheres	cab
rechtwinklichten	rechtwinkligen	1	residual	accept	rechtwinkligen	hegel1-tabelle
oͤfter	öfter	1	residual	accept	öfter	cab
Fortflieſſen	Fortfliessen	1	ss_audit	accept	Fortfliessen	cab
darnach	danach	1	residual	reject	darnach	hegel1-tabelle
unpaſſender	unpassender	1	ss_audit	accept	unpassender	cab
haͤngen	hängen	1	residual	accept	hängen	hegel1-paare
ſtroͤmendes	strömendes	1	residual	accept	strömendes	cab
Wieder-Andersſeyn	Wieder-Anderssein	1	ss_audit	accept	Wieder-Anderssein	cab
neblichten	nebligen	1	residual	reject	neblichten	hegel1-paare
Schluſſe	Schlusse	1	ss_audit	accept	Schlusse	hegel1-paare
uͤberfliegen	überfliegen	1	residual	accept	überfliegen	cab
Anfaͤnge	Anfänge	1	residual	accept	Anfänge	hegel1-paare
vollſtaͤndigen	vollständigen	1	residual	accept	vollständigen	hegel1-paare
Grundkraͤfte	Grundkräfte	1	residual	accept	Grundkräfte	cab
intenſivern	intensiveren	1	residual	accept	intensiveren	cab
entaͤuſſern	entäußern	1	residual	accept	entäußern	hegel1-tabelle
Formiren	Formieren	1	residual	accept	Formieren	hegel1-tabelle
Wiederhohlen	Wiederholen	1	residual	accept	Wiederholen	hegel2
beybehaͤlt	beibehält	1	residual	accept	beibehält	hegel2
Praͤdicat	Prädikat	1	residual	accept	Prädikat	hegel1-paare
verfuͤhren	verführen	1	residual	accept	verführen	hegel1-paare
Saͤttigungsfaͤhigkeit	Sättigungsfähigkeit	1	residual	accept	Sättigungsfähigkeit	cab
geknuͤpft	geknüpft	1	residual	accept	geknüpft	hegel1-paare
Anfuͤhrung	Anführung	1	residual	accept	Anführung	cab
vermoͤgen	vermögen	1	residual	accept	vermögen	hegel1-paare
Blaͤtter	Blätter	1	residual	accept	Blätter	cab
begnuͤgen	begnügen	1	residual	accept	begnügen	hegel1-paare
Fichte’ſchen	Fichteschen	1	residual	accept	Fichteschen	cab
kaͤmpfen	kämpfen	1	residual	accept	kämpfen	cab
verſpuͤren	verspüren	1	residual	accept	verspüren	cab
erkuͤhnt	erkühnt	1	residual	accept	erkühnt	cab
zuſammenſtuͤrzen	zusammenstürzen	1	residual	accept	zusammenstürzen	hegel1-paare
gelaſſenen	gelassenen	1	ss_audit	accept	gelassenen	cab
vorlaͤufigen	vorläufigen	1	residual	accept	vorläufigen	cab
Unendlich„keit	Unendlichkeit	1	residual	accept	Unendlichkeit	cab
geſtoͤrt	gestört	1	residual	accept	gestört	hegel1-paare
hoͤheres	höheres	1	residual	accept	höheres	hegel1-paare
toͤdten	töten	1	residual	accept	töten	cab
obenbeſagte	obbesagte	1	residual	accept	obbesagte	hegel2
ſelbſt-beſtimmtſeyns	Selbst-Bestimmtseins	1	residual	accept	Selbst-Bestimmtseins	cab
Bemuͤhung	Bemühung	1	residual	accept	Bemühung	hegel1-paare
vermoͤgend	vermögend	1	residual	accept	vermögend	cab
fruͤherer	früherer	1	residual	accept	früherer	cab
Gaͤhrung	Gehrung	1	residual	rewrite	Gärung	hegel1-paare
aͤngſtlichen	ängstlichen	1	residual	accept	ängstlichen	cab
weiters	weiteres	1	residual	accept	weiteres	cab
Dieſelbigkeit	Selbigkeit	1	residual	rewrite	Dieselbigkeit	hegel1-paare
demonſtrirte	demonstrierte	1	residual	accept	demonstrierte	hegel2
Definirens	Definierens	1	residual	accept	Definierens	hegel2
Eſſen	Essen	1	ss_audit	accept	Essen	cab
negirendes	negierendes	1	residual	accept	negierendes	hegel2
uͤbergehe	übergehe	1	residual	accept	übergehe	cab
Zufaͤlligkeiten	Zufälligkeiten	1	residual	accept	Zufälligkeiten	hegel1-paare
herbeyfuͤhren	herbeiführen	1	residual	accept	herbeiführen	hegel2
gegenuͤberſtellt	gegenüberstellt	1	residual	accept	gegenüberstellt	hegel1-paare
an-und-fuͤr-ſichſeyend	an-und-für-sichseyend	1	residual	rewrite	an-und-für-sichseiend	mechanisch
ergruͤndeten	ergründeten	1	residual	accept	ergründeten	cab
Hinderniſſe	Hindernisse	1	ss_audit	accept	Hindernisse	cab
Specifiſchen	Spezifischen	1	residual	accept	Spezifischen	hegel2
aͤuſſerlichem	äußerlichem	1	residual	accept	äußerlichem	hegel2
innwohnende	innewohnende	1	residual	accept	innewohnende	hegel1-tabelle
herbeyzufuͤhren	herbeizuführen	1	residual	accept	herbeizuführen	hegel2
ſubtrahirt	subtrahiert	1	residual	accept	subtrahiert	hegel2
Erddurchmeſſer	Erddurchmesser	1	ss_audit	accept	Erddurchmesser	cab
Juͤnglings	Jünglings	1	residual	accept	Jünglings	hegel1-paare
Grundkraͤften	Grundkräften	1	residual	accept	Grundkräften	cab
Spruͤche	Sprüche	1	residual	accept	Sprüche	cab
zuſammenflieſſende	zusammenfließende	1	residual	accept	zusammenfließende	hegel2
faſſet	fasset	1	ss_audit	accept	fasset	cab
qualificirtes	qualifiziertes	1	residual	accept	qualifiziertes	cab
voruͤbergehendes	vorübergehendes	1	residual	accept	vorübergehendes	cab
auffaſſen	auffassen	1	ss_audit	accept	auffassen	hegel1-paare
aͤhnliche	ähnliche	1	residual	accept	ähnliche	cab
ſpecifiſchem	spezifischem	1	residual	accept	spezifischem	hegel2
Staͤtige	stetige	1	residual	accept	stetige	hegel2
Nichtanalyſirbares	Nicht_Analysierbares	1	residual	accept	Nicht_Analysierbares	cab
wuͤchſe	wüchse	1	residual	accept	wüchse	cab
privativum	Privativum	1	residual	accept	Privativum	cab
Moͤglichkeiten	Möglichkeiten	1	residual	accept	Möglichkeiten	cab
lemmatiſch	Lemmatisch	1	residual	accept	Lemmatisch	hegel2
Vor„ſtellen	Vorstellen	1	residual	accept	Vorstellen	cab
Naturkenntniß	Naturkenntnis	1	residual	accept	Naturkenntnis	cab
Beſchaſſenheit	Beschossenheit	1	residual	accept	Beschossenheit	cab
Kohaͤſion	Kohäsion	1	residual	accept	Kohäsion	hegel1-paare
ungenuͤgend	ungenügend	1	residual	accept	ungenügend	cab
lemmatiſcherweiſe	Lemmatischerweise	1	residual	accept	Lemmatischerweise	hegel2
Quantitaͤts-Beſtimmung	Quantitäts-Bestimmung	1	residual	accept	Quantitäts-Bestimmung	cab
geſchwaͤcht	geschwächt	1	residual	accept	geschwächt	cab
Hoͤhere	Höhere	1	residual	accept	Höhere	cab
Centrum	Zentrum	1	residual	accept	Zentrum	hegel1-tabelle
Richts	Rechts	1	residual	accept	Rechts	cab
ſtraͤuben	sträuben	1	residual	accept	sträuben	cab
flieſſen	fließen	1	residual	accept	fließen	hegel1-tabelle
abgeloͤst	abgelöst	1	residual	accept	abgelöst	cab
exiſtiren	existieren	1	residual	accept	existieren	hegel1-tabelle
Auſſer-ſichkommen	Ausser-sichkommen	1	ss_audit	accept	Ausser-sichkommen	cab
gelaͤutertſte	geläutertste	1	residual	accept	geläutertste	cab
Gemuͤthserhebung	Gemütserhebung	1	residual	accept	Gemütserhebung	hegel2
Selbſtproduciren	Selbstproduzieren	1	residual	accept	Selbstproduzieren	hegel2
enthuͤllen	enthüllen	1	residual	accept	enthüllen	cab
Staͤubchen	Stäubchen	1	residual	accept	Stäubchen	hegel1-paare
verkuͤrzen	verkürzen	1	residual	accept	verkürzen	cab
Heruͤbergehen	Herübergehen	1	residual	accept	Herübergehen	cab
zuruͤckfuͤhrt	zurückführt	1	residual	accept	zurückführt	cab
Maaßbeſtimmendes	Maßbestimmendes	1	residual	accept	Maßbestimmendes	cab
befaͤnden	befänden	1	residual	accept	befänden	cab
unangemeſſen	unangemessen	1	ss_audit	accept	unangemessen	hegel1-paare
uͤberfluͤſſigerweiſe	überflüssigerweise	1	residual	accept	überflüssigerweise	hegel1-paare
paſſiren	passieren	1	residual	accept	passieren	hegel1-paare
Erddurchmeſſers	Erddurchmessers	1	ss_audit	accept	Erddurchmessers	cab
Verhaͤltniß-	Verhältniß-	1	residual	rewrite	Verhältnis-	cab
Zwiſchenverhaͤltniſſe	Zwischenverhältnisse	1	residual	accept	Zwischenverhältnisse	cab
abzu„ſehen	abzusehen	1	residual	accept	abzusehen	cab
loͤſen	lösen	1	residual	accept	lösen	hegel1-paare
Phaͤnomens	Phänomens	1	residual	accept	Phänomens	cab
Goͤttliche	Göttliche	1	residual	accept	Göttliche	hegel1-paare
geringfuͤgigen	geringfügigen	1	residual	accept	geringfügigen	cab
Laͤnge	Länge	1	residual	accept	Länge	hegel1-paare
ſchmaͤlerer	schmalerer	1	residual	accept	schmalerer	hegel2
Zufaͤlligem	Zufälligem	1	residual	accept	Zufälligem	cab
uͤberwiegende	überwiegende	1	residual	accept	überwiegende	cab
Prattiſch-populaͤre	Praktisch-Populäre	1	residual	accept	Praktisch-Populäre	cab
widerfaͤhrt	widerfährt	1	residual	accept	widerfährt	hegel1-paare
bekuͤmmern	bekümmern	1	residual	accept	bekümmern	cab
verſchaft	verschafft	1	residual	accept	verschafft	hegel2
ausdruͤkken	ausdrücken	1	residual	accept	ausdrücken	cab
herbeygefuͤhrt	herbeigeführt	1	residual	accept	herbeigeführt	hegel2
heruͤber-	herüber-	1	residual	accept	herüber-	cab
Misverſtande	Missverstand	1	residual	accept	Missverstand	cab
Maaßverhaͤltniſſen	Maßverhältnissen	1	residual	accept	Maßverhältnissen	hegel2
faͤrben	färben	1	residual	accept	färben	cab
zuſammendraͤngt	zusammendrängt	1	residual	accept	zusammendrängt	cab
gewoͤhnlicher	gewöhnlicher	1	residual	accept	gewöhnlicher	cab
guͤltige	gültige	1	residual	accept	gültige	hegel1-paare
Andrerſeits	Andererseits	1	residual	accept	Andererseits	cab
Beckanntes	Bekanntes	1	residual	accept	Bekanntes	cab
beduͤrfte	bedürfte	1	residual	accept	bedürfte	cab
Weglaſſungen	Weglassungen	1	ss_audit	accept	Weglassungen	cab
unveraͤndert	unverändert	1	residual	accept	unverändert	hegel1-paare
Maͤrz	März	1	residual	accept	März	cab
begruͤndete	begründete	1	residual	accept	begründete	hegel1-paare
Kunſtgebaͤude	Kunstgebäude	1	residual	accept	Kunstgebäude	cab
Annaͤherung	Annäherung	1	residual	accept	Annäherung	cab
gemeſſen	gemessen	1	ss_audit	accept	gemessen	cab
zukoͤmme	zukomme	1	residual	accept	zukomme	cab
Abgeſtoſſenen	Abgestossenen	1	ss_audit	accept	Abgestossenen	cab
Vorwaͤrtsſchreiten	Vorwärtsschreiten	1	residual	accept	Vorwärtsschreiten	cab
hinuͤbergehenden	hinübergehenden	1	residual	accept	hinübergehenden	cab
Einſchraͤnkung	Einschränkung	1	residual	accept	Einschränkung	cab
Quantitaͤts-Verhaͤltniſſen	Quantitäts-Verhältnissen	1	residual	accept	Quantitäts-Verhältnissen	cab
ſeh	sehe	1	residual	accept	sehe	cab
Schaͤtzung	Schätzung	1	residual	accept	Schätzung	cab
ungeſchmaͤlert	ungeschmälert	1	residual	accept	ungeschmälert	cab
gruͤndlichern	gründlicheren	1	residual	accept	gründlicheren	cab
weglaſſen	weglassen	1	ss_audit	accept	weglassen	hegel1-paare
Groͤſſere	Größere	1	residual	accept	Größere	cab
auſſereinanderſeyendes	aussereinanderseyendes	1	ss_audit	rewrite	außereinanderseiendes	hegel2
Senſibilitaͤt	Sensibilität	1	residual	accept	Sensibilität	hegel1-paare
Anundfuͤrſich-Seyns	Anundfürsich-Seyns	1	residual	rewrite	Anundfürsich-Seins	mechanisch
ſchaͤtzen	schätzen	1	residual	accept	schätzen	cab
andrem	anderem	1	residual	reject	andrem	hegel1-paare
geſchloſſene	geschlossene	1	ss_audit	accept	geschlossene	cab
entreiſſen	entreißen	1	residual	accept	entreißen	hegel2
tavtologiſch	tautologisch	1	residual	accept	tautologisch	hegel1-paare
uͤbergehendes	übergehendes	1	residual	accept	übergehendes	cab
An-und-fuͤrſich-ſeyendes	An-und-fürsich-seyendes	1	residual	rewrite	An-und-fürsich-seiendes	mechanisch
er„liegt	erliegt	1	residual	accept	erliegt	cab
eingeſchloſſen	eingeschlossen	1	ss_audit	accept	eingeschlossen	hegel1-tabelle
lehre	Lehre	1	residual	accept	Lehre	hegel2
vorwaͤrts	vorwärts	1	residual	accept	vorwärts	hegel1-paare
preißt	preist	1	residual	accept	preist	hegel2
erſtenmale	erstenmal	1	residual	accept	erstenmal	cab
Salpeterſaͤuren	Salpetersäuren	1	residual	accept	Salpetersäuren	cab
truͤbe	trübe	1	residual	accept	trübe	hegel1-paare
kaͤme	käme	1	residual	accept	käme	hegel1-paare
Raum-Quantitaͤt	Raum-Quantität	1	residual	accept	Raum-Quantität	cab
aͤuſſerem	äußerem	1	residual	accept	äußerem	hegel2
hinzugefuͤgt	hinzugefügt	1	residual	accept	hinzugefügt	cab
fuͤrſichſeyendes	für-sich-seiendes	1	residual	rewrite	fürsichseiendes	hegel1-tabelle
pruͤfen	prüfen	1	residual	accept	prüfen	cab
aufloͤſendes	auflösendes	1	residual	accept	auflösendes	hegel1-paare
hineingezwaͤngt	hineingezwängt	1	residual	accept	hineingezwängt	cab
Fluͤſſigkeiten	Flüssigkeiten	1	residual	accept	Flüssigkeiten	cab
fortwaͤhrendes	fortwährendes	1	residual	accept	fortwährendes	cab
Erweiße	Erweise	1	residual	accept	Erweise	hegel2
wieſes	wiese	1	residual	accept	wiese	cab
Ruͤckblick	Rückblick	1	residual	accept	Rückblick	cab
Wiſſenſchaftlichkeit	Wissenschaftlichkeit	1	ss_audit	accept	Wissenschaftlichkeit	hegel1-tabelle
fruͤhe	frühe	1	residual	accept	frühe	cab
Spruͤnge	Sprünge	1	residual	accept	Sprünge	cab
Verhaͤltniß-Beſtimmung	Verhältnis-Bestimmung	1	residual	accept	Verhältnis-Bestimmung	cab
Verknuͤpfungen	Verknüpfungen	1	residual	accept	Verknüpfungen	cab
uͤbergegangene	übergegangene	1	residual	accept	übergegangene	cab
attrahirtes	attrahiertes	1	residual	accept	attrahiertes	cab
Be„wegung	Bewegung	1	residual	accept	Bewegung	cab
Duͤrftigkeit	Dürftigkeit	1	residual	accept	Dürftigkeit	cab
unvernuͤnftige	unvernünftige	1	residual	accept	unvernünftige	cab
realiſirten	realisierten	1	residual	accept	realisierten	hegel2
Gegenwaͤrtiges	Gegenwärtiges	1	residual	accept	Gegenwärtiges	cab
Mistrauen	Misstrauen	1	residual	accept	Misstrauen	hegel2
entferntern	entfernteren	1	residual	accept	entfernteren	cab
ſtaͤtigen	stetigen	1	residual	accept	stetigen	hegel2
verfloſſener	verflossener	1	ss_audit	accept	verflossener	cab
Progreßes	Progresses	1	residual	accept	Progresses	hegel2
zuruͤkgeflohen	zurückgeflohen	1	residual	accept	zurückgeflohen	hegel2
Verhaͤltnißglieder	Verhältnisglieder	1	residual	accept	Verhältnisglieder	hegel2
Einfachern	Einfacheren	1	residual	accept	Einfacheren	cab
geſaßt	gefaßt	1	residual	accept	gefaßt	cab
Wiſſenſchaftslehre	Wissenschaftslehre	1	ss_audit	accept	Wissenschaftslehre	cab
factiſch	faktisch	1	residual	accept	faktisch	hegel2
Naturwiſſenſchaft	Naturwissenschaft	1	ss_audit	accept	Naturwissenschaft	cab
Staͤbchen	Stäbchen	1	residual	accept	Stäbchen	cab
Fuͤhlens	Fühlens	1	residual	accept	Fühlens	hegel1-paare
kaͤnnte	kennte	1	residual	accept	kennte	hegel2
multiplicirt	multipliziert	1	residual	accept	multipliziert	hegel2
Kalkuliren	Kalkulieren	1	residual	accept	Kalkulieren	cab
ſubjectiv-logiſchen	subjektiv-logischen	1	residual	accept	subjektiv-logischen	cab
aͤnderte	änderte	1	residual	accept	änderte	hegel1-paare
Toͤne	Töne	1	residual	accept	Töne	hegel1-paare
reflektirte	reflektierte	1	residual	accept	reflektierte	cab
gegenwaͤrtige	gegenwärtige	1	residual	accept	gegenwärtige	hegel1-paare
beſſeres	besseres	1	ss_audit	accept	besseres	cab
Schlieſſens	Schließens	1	residual	accept	Schließens	hegel2
proteſtirt	protestiert	1	residual	accept	protestiert	hegel2
zuruͤckſtehende	zurückstehende	1	residual	accept	zurückstehende	cab
Repellirens	Rebellierens	1	residual	accept	Rebellierens	cab
hievon	hiervon	1	residual	accept	hiervon	hegel1-tabelle
zuruͤckgenommene	zurückgenommene	1	residual	accept	zurückgenommene	hegel1-paare
Maaßbeziehung	Maßbeziehung	1	residual	accept	Maßbeziehung	hegel2
empfaͤngt	empfängt	1	residual	accept	empfängt	hegel1-paare
charakteriſiren	charakterisieren	1	residual	accept	charakterisieren	hegel2
beſſer	besser	1	ss_audit	accept	besser	hegel1-tabelle
Zuſammen„geſetzten	Zusammengesetzten	1	residual	accept	Zusammengesetzten	cab
